#Merged Table B's.
#T1,T2,topic,notes,original

#Table B1 A & C
A,C,analysis/cyclone,
A,G,analysis/sea/navigation, marine vs. sea/navigation,
A,H,analysis/thickness,
A,I,analysis/ice,
A,O,analysis/ozone,
A,R,analysis/radar,
A,S,analysis/land,
A,U,analysis/air/upper,replace:,Upper,Air,
A,W,analysis/weather,
A,X,analysis,
C,A,climate/anomalies,
C,E,climate/monthly/air/upper,
C,H,climate/monthly/land,
C,O,climate/monthly/sea,
C,S,climate/monthly/land,
C,S,climate/monthly/sea,
#Table B2
DGHXY,A,model/radar,,Radar data
DGHXY,B,model/cloud,,Cloud
DGHXY,C,model/vorticity,,Vorticity
DGHXY,D,model/thickness,,Thickness (relative topography)
DGHXY,E,model/precipitation,,Precipitation
DGHXY,F,model,,-
DGHXY,G,model/divergence,,Divergence
DGHXY,H,model/height,,Height
DGHXY,I,model,,-
DGHXY,J,model/wave,,Wave height + combinations
DGHXY,K,model/swell,,Swell height + combinations
DGHXY,L,model,,-
DGHXY,M,model/national,,For national use
DGHXY,N,model/radiation,,Radiation
DGHXY,O,model/velocity/vertical,,Vertical velocity
DGHXY,P,model/pressure,,Pressure
DGHXY,Q,model/temperature/bulb,,Wet bulb potential temperature
DGHXY,R,model/humidity/relative,,Relative humidity
DGHXY,S,model,,-
DGHXY,T,model/temperature,,Temperature
DGHXY,U,model/wind/east,,Eastward wind component
DGHXY,V,model/wind/north,,Northward wind component
DGHXY,W,model/wind,,Wind
DGHXY,X,model/lifted,,Lifted index
DGHXY,Y,model/observation/chart,,Observational plotted chart
DGHXY,Z,model,,Not assigned
# Table B5
E,C,satelite/cloud,,Table B5 Cloud top temperature
E,F,satelite/fog,,Table B5 Fog
E,I,satelite/infrared,,Table B5 Infrared
E,S,satelite/land/,,Table B5 Surface temperature
E,V,satelite/visible,,Table B5 Visible
E,W,satelite/vapour,,Table B5 Water vapour
E,Y,satelite/other,,Table B5 User specified
E,Z,satelite/other,,Table B5 Unspecified

#Table B1, F
F,A,forecast/air/navigation/advisories, upperair vs. aviation?,
F,B,forecast/air/navigation/,
F,C,forecast/aerodrome/,
F,D,forecast/radiation/ replaced: radiological,
F,E,forecast/extended/,
F,F,forecast/shipping/,
F,G,forecast/water,replaced: hydrology,
F,H,forecast/air/thickness,
F,I,forecast/iceberg,
F,J,forecast/radiowarningservice,???,
F,K,forecast/cyclone What would *tropical* add?,
F,L,forecast/local,
F,M,forecast/temperature/extremes,
F,O,forecast/guidance,
F,P,forecast/public,
F,Q,forecast/shipping/other, why other?,
F,R,forecast/air/navigation/route, 
F,S,forecast/land,
F,T,forecast/aerodrome,
F,U,forecast/air/navigation/,
F,V,forecast/air/navigation/ash, elided volcanic,
F,W,forecast/land/sport,elided winter,
F,X,forecast,
F,Z,forecast/shipping/area,

#Table B3
I,N,observation/satellite,,Satellite data
I,O,observation/sea,,Oceanographic/limnographic (water properties)
I,P,observation,,Pictorial
I,S,observation/sea/surface,,Surface/sea level
I,T,observation,,Text (plain language information)
I,U,observation/air/upper,,Upper air
I,X,observation,,Other data types

J,N,forecast/satellite,,Satellite data
J,O,forecast/sea/,,Oceanographic/limnographic (water properties)
J,P,forecast,,Pictorial
J,S,forecast/sea/surface,,Surface/sea level
J,T,forecast,,Text (plain language information)
J,U,forecast/air/upper,,Upper air
J,X,forecast,,Other data types

#Table B1, N
N,A,notices/air/navigation,
N,B,notices/air/navigation,
N,G,notice/water,,Hydrological,[TEXT]
N,H,notice/sea/navigation,,Marine,[TEXT]
N,N,alert/nuclear,,Nuclear emergency response,[TEXT]
N,O,notice/,,METNO/WIFMA,[TEXT]
N,P,notice/delay,,Product generation delay,[TEXT]
N,T,notice/test,,TEST MSG [System related],[TEXT]
N,W,alert,,Warning related and/or cancellation,[TEXT]


#table B4
O,D,sea/deep,,Depth
O,E,sea/ice/concentration,,Ice concentration
